144,30,0
144,31,171
143,33,195
142,37,207
140,43,220
139,48,231
139,54,244
139,61,256
139,69,269
139,77,280
139,83,292
139,86,304
140,88,317
140,89,341
141,90,352
142,90,474
144,89,487
146,89,499
153,86,510
160,84,523
165,84,534
174,83,546
182,83,559
189,83,570
193,83,580
195,82,590
196,82,600
196,81,650
196,79,690
196,78,700
196,76,710
196,74,720
195,73,740
194,71,750
192,68,760
190,66,770
187,64,780
185,61,800
184,60,810
183,59,820
182,59,850
182,61,880
182,62,890
182,63,910
182,64,920
182,65,930
182,66,940
182,70,950
182,76,970
182,84,980
182,92,990
182,102,1000
183,116,1020
183,128,1030
184,136,1040
184,140,1050
184,143,1060
184,144,1080
