183,39,0
182,39,61
181,39,73
180,39,97
179,40,110
177,40,122
176,41,133
174,42,146
172,43,158
169,43,170
164,44,183
161,46,194
158,48,207
154,49,219
153,51,230
151,53,243
149,58,255
145,64,268
140,70,279
135,75,292
133,79,304
131,82,316
130,84,329
128,88,341
127,91,354
126,96,364
125,104,376
124,109,389
123,114,401
123,117,413
122,120,426
122,123,439
122,126,450
122,129,462
122,135,474
122,141,486
122,147,498
122,151,511
122,154,523
122,156,534
122,158,547
122,160,559
122,162,571
123,164,583
124,167,596
125,173,608
125,176,620
126,179,632
128,181,644
129,183,657
131,185,669
134,186,680
136,187,693
138,188,705
142,188,717
143,188,729
145,189,742
147,189,754
150,189,766
153,189,778
157,189,790
160,189,803
163,189,814
166,189,826
168,189,838
172,189,851
176,189,863
181,189,876
183,189,887
184,189,900
186,188,911
186,187,924
187,186,936
187,184,961
187,183,974
188,181,985
188,178,997
188,175,1009
188,173,1021
189,173,1034
189,171,1048
189,170,1069
189,168,1094
189,167,1107
189,166,1119
188,164,1131
187,163,1143
187,160,1156
187,158,1167
186,155,1179
184,154,1191
184,152,1204
182,152,1217
181,151,1228
179,150,1241
176,149,1253
174,147,1265
172,147,1277
170,145,1288
167,144,1301
163,143,1313
160,143,1325
156,142,1338
154,142,1349
153,141,1361
151,141,1375
149,140,1386
148,140,1397
146,140,1410
144,140,1423
140,140,1435
139,140,1447
137,140,1459
135,141,1471
134,142,1495
133,143,1508
132,143,1520
131,143,1531
130,144,1556
129,144,1568
129,145,1592
128,145,1604
128,146,1617
127,146,1630
