147,104,0
147,106,51
147,108,65
147,111,78
147,115,88
147,123,101
147,134,115
147,143,126
148,150,137
150,153,149
151,158,174
151,159,199
152,159,283
153,159,370
154,159,380
156,158,391
160,158,404
166,157,416
170,156,428
175,155,441
180,154,437
187,154,465
193,153,478
196,153,488
199,153,503
202,153,513
207,152,526
210,152,538
213,152,550
214,151,546
215,151,575
215,150,768
214,148,793
214,147,804
212,144,817
209,139,829
207,133,841
204,126,855
201,112,865
198,99,877
196,92,875
195,88,903
195,86,914
194,86,926
194,87,1112
194,88,1120
194,90,1132
194,93,1146
194,97,1157
194,101,1170
194,108,1182
194,122,1193
194,135,1206
196,151,1218
201,180,1231
202,200,1242
205,213,1255
206,223,1267
207,231,1279
208,237,1290
208,238,1302
208,239,1315
